pickup_datetime,pickup_x,pickup_y,dropoff_x,dropoff_y
5/4/34 16:44,146.3634552,310.6482804,157.3952098,341.3291651
3/5/34 0:47,154.7232787,348.3800014,157.0453318,326.9993058
5/31/34 7:32,163.1801778,310.9811176,150.0592099,338.9098886
5/7/34 1:39,149.2185275,321.2963862,139.1563045,313.8331151
6/13/34 12:36,167.8398946,353.3066657,157.5174952,331.2089548
2/10/34 9:50,148.2137344,308.0689763,142.2680838,297.3121362
3/26/34 14:11,153.0732649,299.900432,157.9923494,336.3069002
4/22/34 17:04,150.5670666,327.5223259,160.6853991,327.2457528
7/2/34 1:57,150.9293824,317.5331967,107.6180238,399.2520256
4/25/34 23:17,149.8964289,347.9006122,163.7260692,339.8488932
3/11/34 20:22,150.1819817,352.968415,132.6073062,299.6627863
3/14/34 1:02,116.1637041,320.7223847,119.117129,377.9486533
